baseline,model,decision_type,metric,old,new,delta
fixed_default_same_scenarios,gemini,Overall,tau_gain_AH_minus_FD,0.3097435897435896,0.2926495726495725,-0.017094017094017144
fixed_default_same_scenarios,gemini,HVAC,kendall_tau,0.9333333333333332,0.9333333333333332,0.0
fixed_default_same_scenarios,gemini,HVAC,top1,0.9571428571428572,0.9571428571428572,0.0
fixed_default_same_scenarios,gemini,HVAC,tau_gain_AH_minus_FD,0.0438095238095238,0.0342857142857143,-0.009523809523809497
fixed_default_same_scenarios,gemini,Appliance,kendall_tau,0.0974358974358974,0.1384615384615385,0.0410256410256411
fixed_default_same_scenarios,gemini,Appliance,top1,0.2923076923076923,0.3076923076923077,0.015384615384615385
fixed_default_same_scenarios,gemini,Appliance,tau_gain_AH_minus_FD,0.8615384615384617,0.8205128205128205,-0.04102564102564121
fixed_default_same_scenarios,gemini,Shower,kendall_tau,0.8000000000000002,0.8000000000000002,0.0
fixed_default_same_scenarios,gemini,Shower,top1,0.85,0.85,0.0
fixed_default_same_scenarios,gemini,Shower,tau_gain_AH_minus_FD,0.022222222222222,0.022222222222222,0.0
fixed_default_same_scenarios,gptoss,Overall,kendall_tau,0.5686836052247193,0.5842266867163106,0.015543081491591337
fixed_default_same_scenarios,gptoss,Overall,top1,0.6654403440217139,0.6712689995810608,0.0058286555593468625
fixed_default_same_scenarios,gptoss,Overall,tau_gain_AH_minus_FD,0.3287357678295423,0.3131926863379508,-0.015543081491591504
fixed_default_same_scenarios,gptoss,HVAC,kendall_tau,0.928321583178726,0.928321583178726,0.0
fixed_default_same_scenarios,gptoss,HVAC,top1,0.948422593279736,0.948422593279736,0.0
fixed_default_same_scenarios,gptoss,HVAC,tau_gain_AH_minus_FD,0.014531436817151,0.014531436817151,0.0
fixed_default_same_scenarios,gptoss,Appliance,kendall_tau,0.0974358974358974,0.1384615384615385,0.0410256410256411
fixed_default_same_scenarios,gptoss,Appliance,top1,0.2923076923076923,0.3076923076923077,0.015384615384615385
fixed_default_same_scenarios,gptoss,Appliance,tau_gain_AH_minus_FD,0.8697435897435899,0.8287179487179486,-0.041025641025641324
fixed_default_same_scenarios,gptoss,Shower,kendall_tau,0.8000000000000002,0.8000000000000002,0.0
fixed_default_same_scenarios,gptoss,Shower,top1,0.85,0.85,0.0
fixed_default_same_scenarios,gptoss,Shower,tau_gain_AH_minus_FD,-0.0133333333333334,-0.0133333333333334,0.0
fixed_default_same_scenarios,qwen,Overall,kendall_tau,0.6135659529473962,0.6272693629394661,0.01370340999206987
fixed_default_same_scenarios,qwen,Overall,top1,0.7029817605075337,0.70812053925456,0.005138778747026285
fixed_default_same_scenarios,qwen,Overall,tau_gain_AH_minus_FD,0.2665468323200281,0.2528434223279583,-0.013703409992069815
fixed_default_same_scenarios,qwen,HVAC,kendall_tau,0.93487922705314,0.93487922705314,0.0
fixed_default_same_scenarios,qwen,HVAC,top1,0.959792960662526,0.959792960662526,0.0
fixed_default_same_scenarios,qwen,HVAC,tau_gain_AH_minus_FD,-0.0535817805383022,-0.0535817805383022,0.0
fixed_default_same_scenarios,qwen,Appliance,kendall_tau,0.0974358974358974,0.1384615384615385,0.0410256410256411
fixed_default_same_scenarios,qwen,Appliance,top1,0.2923076923076923,0.3076923076923077,0.015384615384615385
fixed_default_same_scenarios,qwen,Appliance,tau_gain_AH_minus_FD,0.8082051282051281,0.7671794871794871,-0.04102564102564099
fixed_default_same_scenarios,qwen,Shower,kendall_tau,0.8000000000000002,0.8000000000000002,0.0
fixed_default_same_scenarios,qwen,Shower,top1,0.85,0.85,0.0
fixed_default_same_scenarios,qwen,Shower,tau_gain_AH_minus_FD,0.0511111111111109,0.0511111111111109,0.0
