architecture,run,decision_type,kendall_tau,spearman_rho,top1_accuracy,top2_accuracy,overall_mae,overall_rmse,overall_rmse_mae_ratio,energy_cost_mae,environmental_mae,comfort_mae,practicality_mae,energy_cost_rmse,environmental_rmse,comfort_rmse,practicality_rmse,n_scenarios,n_failed,n_total,model
Example-Guided_LLM_Scoring,5,Appliance,0.4051,0.4538,0.6769,0.9077,0.2061,0.2786,1.3518,0.2062,0.1885,0.2327,0.1971,0.2783,0.27,0.2991,0.2656,65,0,0,deepseek
Example-Guided_LLM_Scoring,5,Shower,0.5889,0.6167,0.6833,0.9,0.1408,0.2044,1.4517,0.1438,0.1341,0.1257,0.1595,0.2031,0.2001,0.1923,0.2211,60,0,0,deepseek
LLM-Parameterized_Reference_Scoring,1,Overall,0.9009,0.9128,0.9231,0.9846,0.0399,0.0777,1.9474,0.0608,0.0711,0.0107,0.017,0.0925,0.109,0.0373,0.0485,195,0,195,deepseek
LLM-Parameterized_Reference_Scoring,1,HVAC,0.9238,0.9429,0.9286,1.0,0.045,0.0731,1.6244,0.0761,0.074,0.0,0.03,0.102,0.097,0.0,0.0391,70,0,0,deepseek
LLM-Parameterized_Reference_Scoring,1,Appliance,0.959,0.9692,0.9846,1.0,0.0456,0.0936,2.0526,0.0741,0.1084,0.0,0.0,0.1095,0.152,0.0,0.0,65,0,0,deepseek
LLM-Parameterized_Reference_Scoring,1,Shower,0.8111,0.8167,0.85,0.95,0.0277,0.0626,2.2599,0.0283,0.0273,0.0347,0.0204,0.0519,0.0511,0.0673,0.0765,60,0,0,deepseek
LLM-Parameterized_Reference_Scoring,2,Overall,0.8935,0.9072,0.9021,0.9742,0.0484,0.0963,1.9897,0.0711,0.0848,0.0165,0.0211,0.1195,0.1321,0.0454,0.0579,194,1,195,deepseek
LLM-Parameterized_Reference_Scoring,2,HVAC,0.913,0.9275,0.913,0.9855,0.0441,0.094,2.1315,0.0726,0.0718,0.0,0.032,0.1322,0.1273,0.0,0.0405,69,0,0,deepseek
LLM-Parameterized_Reference_Scoring,2,Appliance,0.9795,0.9846,0.9846,1.0,0.0387,0.0848,2.1912,0.0566,0.0984,0.0,0.0,0.0942,0.141,0.0,0.0,65,0,0,deepseek
LLM-Parameterized_Reference_Scoring,2,Shower,0.7778,0.8,0.8,0.9333,0.0637,0.1099,1.7253,0.0852,0.085,0.0533,0.0313,0.1282,0.1274,0.0817,0.0946,60,0,0,deepseek
