architecture,run,decision_type,kendall_tau,spearman_rho,top1_accuracy,top2_accuracy,overall_mae,overall_rmse,overall_rmse_mae_ratio,energy_cost_mae,environmental_mae,comfort_mae,practicality_mae,energy_cost_rmse,environmental_rmse,comfort_rmse,practicality_rmse,n_scenarios,n_failed,n_total,model
LLM-Parameterized_Reference_Scoring,2,Overall,0.8974,0.9112,0.9172,0.9763,0.052,0.1014,1.95,0.0765,0.0971,0.0127,0.0217,0.1216,0.1436,0.0405,0.0638,169,26,195,gptoss
LLM-Parameterized_Reference_Scoring,2,HVAC,0.9242,0.9432,0.9091,1.0,0.0501,0.0939,1.8743,0.0835,0.081,0.0,0.0359,0.1308,0.1274,0.0,0.0437,44,0,0,gptoss
LLM-Parameterized_Reference_Scoring,2,Appliance,0.9692,0.9769,0.9846,1.0,0.0546,0.1082,1.9817,0.0823,0.136,0.0,0.0,0.1247,0.1769,0.0,0.0,65,0,0,gptoss
LLM-Parameterized_Reference_Scoring,2,Shower,0.8,0.8167,0.85,0.9333,0.0507,0.099,1.9527,0.0653,0.0668,0.0359,0.0348,0.1108,0.1107,0.0679,0.1004,60,0,0,gptoss
LLM-Parameterized_Reference_Scoring,3,Overall,0.8966,0.908,0.9138,0.9828,0.0548,0.1086,1.9818,0.0814,0.1025,0.0113,0.024,0.1304,0.1557,0.0386,0.0663,174,21,195,gptoss
LLM-Parameterized_Reference_Scoring,3,HVAC,0.9456,0.9592,0.9592,1.0,0.0556,0.111,1.9964,0.0929,0.0916,0.0,0.038,0.1539,0.1526,0.0,0.0478,49,0,0,gptoss
LLM-Parameterized_Reference_Scoring,3,Appliance,0.959,0.9692,0.9846,1.0,0.0547,0.1112,2.0329,0.0801,0.1389,0.0,0.0,0.1192,0.1877,0.0,0.0,65,0,0,gptoss
LLM-Parameterized_Reference_Scoring,3,Shower,0.7889,0.8,0.8,0.95,0.0542,0.1037,1.9133,0.0735,0.0718,0.0329,0.0385,0.1209,0.1147,0.0657,0.1044,60,0,0,gptoss
LLM-Parameterized_Reference_Scoring,4,Overall,0.8971,0.9171,0.9086,0.9943,0.0518,0.0989,1.9093,0.0777,0.0969,0.0134,0.0193,0.1201,0.1404,0.042,0.0565,175,20,195,gptoss
LLM-Parameterized_Reference_Scoring,4,HVAC,0.9333,0.95,0.92,1.0,0.0481,0.095,1.9751,0.0796,0.0789,0.0,0.0339,0.1311,0.1306,0.0,0.0435,50,0,0,gptoss
LLM-Parameterized_Reference_Scoring,4,Appliance,0.959,0.9692,0.9846,1.0,0.0507,0.0979,1.931,0.0758,0.1269,0.0,0.0,0.1088,0.1629,0.0,0.0,65,0,0,gptoss
LLM-Parameterized_Reference_Scoring,4,Shower,0.8,0.8333,0.8167,0.9833,0.0562,0.1029,1.831,0.0781,0.0793,0.0391,0.0282,0.122,0.1207,0.0718,0.0879,60,0,0,gptoss
LLM-Parameterized_Reference_Scoring,5,Overall,0.8863,0.9029,0.9118,0.9824,0.0522,0.0981,1.8793,0.0772,0.0971,0.0127,0.0217,0.1171,0.1386,0.0404,0.0629,170,25,195,gptoss
LLM-Parameterized_Reference_Scoring,5,HVAC,0.9407,0.9556,0.9333,1.0,0.0536,0.1036,1.9328,0.0887,0.0886,0.0,0.0371,0.1427,0.1427,0.0,0.047,45,0,0,gptoss
LLM-Parameterized_Reference_Scoring,5,Appliance,0.9692,0.9769,0.9846,1.0,0.0482,0.091,1.888,0.071,0.1217,0.0,0.0,0.0966,0.1544,0.0,0.0,65,0,0,gptoss
LLM-Parameterized_Reference_Scoring,5,Shower,0.7556,0.7833,0.8167,0.95,0.0555,0.1012,1.8234,0.0753,0.0768,0.036,0.0337,0.1162,0.1154,0.0681,0.0977,60,0,0,gptoss
