model,arch,run,decision_type,n,mean_regret,zero_regret_share,top1,n_miss,mean_regret_given_miss,random_pick_regret
qwen,A_D,4,Overall,195,0.0742076923076923,0.27692307692307694,0.27692307692307694,141,0.1026276595744681,0.06951794871794871
qwen,A_D,4,HVAC,70,0.03977142857142858,0.32857142857142857,0.32857142857142857,47,0.05923404255319151,0.037216666666666676
qwen,A_D,4,Appliance,65,0.09285384615384616,0.23076923076923078,0.23076923076923078,50,0.12071000000000001,0.0898051282051282
qwen,A_D,4,Shower,60,0.09418333333333333,0.26666666666666666,0.26666666666666666,44,0.12843181818181817,0.08522499999999998
qwen,A_D,5,Overall,194,0.06281958762886598,0.3247422680412371,0.3247422680412371,131,0.09303053435114504,0.06973453608247422
qwen,A_D,5,HVAC,69,0.03630434782608697,0.2898550724637681,0.2898550724637681,49,0.05112244897959185,0.03735748792270532
qwen,A_D,5,Appliance,65,0.08960769230769232,0.27692307692307694,0.27692307692307694,47,0.12392553191489362,0.0898051282051282
qwen,A_D,5,Shower,60,0.06429166666666666,0.4166666666666667,0.4166666666666667,35,0.11021428571428568,0.08522499999999998
qwen,A_E,1,Overall,195,0.04697948717948719,0.46153846153846156,0.46153846153846156,105,0.08724761904761906,0.06951794871794871
qwen,A_E,1,HVAC,70,0.0296857142857143,0.44285714285714284,0.44285714285714284,39,0.05328205128205131,0.037216666666666676
qwen,A_E,1,Appliance,65,0.06812307692307694,0.47692307692307695,0.47692307692307695,34,0.1302352941176471,0.0898051282051282
qwen,A_E,1,Shower,60,0.04425,0.4666666666666667,0.4666666666666667,32,0.08296875,0.08522499999999998
qwen,A_E,2,Overall,195,0.0444820512820513,0.4512820512820513,0.4512820512820513,107,0.0810654205607477,0.06951794871794871
qwen,A_E,2,HVAC,70,0.031657142857142884,0.35714285714285715,0.35714285714285715,45,0.049244444444444486,0.037216666666666676
qwen,A_E,2,Appliance,65,0.05007692307692308,0.5692307692307692,0.5692307692307692,28,0.11625000000000003,0.0898051282051282
qwen,A_E,2,Shower,60,0.053383333333333345,0.43333333333333335,0.43333333333333335,34,0.09420588235294118,0.08522499999999998
qwen,A_E,3,Overall,195,0.04618205128205129,0.48205128205128206,0.48205128205128206,101,0.08916336633663366,0.06951794871794871
qwen,A_E,3,HVAC,70,0.023871428571428585,0.4714285714285714,0.4714285714285714,37,0.04516216216216218,0.037216666666666676
qwen,A_E,3,Appliance,65,0.06384615384615386,0.5076923076923077,0.5076923076923077,32,0.1296875,0.0898051282051282
qwen,A_E,3,Shower,60,0.05307499999999999,0.4666666666666667,0.4666666666666667,32,0.09951562499999998,0.08522499999999998
qwen,A_E,4,Overall,195,0.04222564102564103,0.48205128205128206,0.48205128205128206,101,0.08152475247524754,0.06951794871794871
qwen,A_E,4,HVAC,70,0.03467142857142859,0.38571428571428573,0.38571428571428573,43,0.05644186046511631,0.037216666666666676
qwen,A_E,4,Appliance,65,0.048307692307692315,0.5230769230769231,0.5230769230769231,31,0.10129032258064517,0.0898051282051282
qwen,A_E,4,Shower,60,0.04444999999999998,0.55,0.55,27,0.09877777777777774,0.08522499999999998
qwen,A_E,5,Overall,195,0.05415128205128205,0.4512820512820513,0.4512820512820513,107,0.09868691588785046,0.06951794871794871
qwen,A_E,5,HVAC,70,0.028871428571428583,0.4,0.4,42,0.04811904761904764,0.037216666666666676
qwen,A_E,5,Appliance,65,0.0675846153846154,0.5230769230769231,0.5230769230769231,31,0.14170967741935486,0.0898051282051282
qwen,A_E,5,Shower,60,0.06909166666666665,0.43333333333333335,0.43333333333333335,34,0.1219264705882353,0.08522499999999998
qwen,A_H,1,Overall,194,0.0029097938144329897,0.9175257731958762,0.9175257731958762,16,0.03528125,0.06972766323024054
qwen,A_H,1,HVAC,69,0.002521739130434783,0.9130434782608695,0.9130434782608695,6,0.02900000000000001,0.037338164251207735
qwen,A_H,1,Appliance,65,0.003776923076923078,0.9384615384615385,0.9384615384615385,4,0.06137500000000001,0.0898051282051282
qwen,A_H,1,Shower,60,0.002416666666666665,0.9,0.9,6,0.024166666666666652,0.08522499999999998
qwen,A_H,2,Overall,195,0.003630769230769232,0.8923076923076924,0.8923076923076924,21,0.03371428571428573,0.06951794871794871
qwen,A_H,2,HVAC,70,0.0038071428571428596,0.8428571428571429,0.8428571428571429,11,0.024227272727272743,0.037216666666666676
qwen,A_H,2,Appliance,65,0.0046000000000000025,0.9230769230769231,0.9230769230769231,5,0.059800000000000034,0.0898051282051282
qwen,A_H,2,Shower,60,0.0023749999999999995,0.9166666666666666,0.9166666666666666,5,0.02849999999999999,0.08522499999999998
qwen,A_H,3,Overall,195,0.002923076923076923,0.8871794871794871,0.8871794871794871,22,0.025909090909090916,0.06951794871794871
qwen,A_H,3,HVAC,70,0.0022214285714285734,0.8714285714285714,0.8714285714285714,9,0.017277777777777795,0.037216666666666676
qwen,A_H,3,Appliance,65,0.003776923076923078,0.9384615384615385,0.9384615384615385,4,0.06137500000000001,0.0898051282051282
qwen,A_H,3,Shower,60,0.0028166666666666657,0.85,0.85,9,0.018777777777777768,0.08522499999999998
qwen,A_H,4,Overall,194,0.0032628865979381456,0.8917525773195877,0.8917525773195877,21,0.030142857142857155,0.06981529209621992
qwen,A_H,4,HVAC,69,0.0025144927536231913,0.8695652173913043,0.8695652173913043,9,0.0192777777777778,0.03758454106280194
