model,arch,variant,decision_type,n_runs,mean_n_scored,stored_tau,stored_tau_sd,stored_top1,top1_vs_current_ref,mean_tau_nan_scenarios,main_benchmark_tau,main_benchmark_top1
gemini,A_E,control,Shower,3,60.0,0.749625849946542,0.026586906877156712,0.7055555555555556,0.7333333333333333,0.0,0.76668,0.7933399999999999
gptoss,A_D,control,Overall,10,195.0,0.05178741443384512,0.03442703736555419,0.3441025641025641,0.34102564102564104,1.4,0.04068000000000001,0.33334
gptoss,A_D,control,HVAC,10,70.0,0.13995994124916064,0.045462489759245384,0.3757142857142857,0.37857142857142856,1.4,0.13523999999999997,0.39714
gptoss,A_D,control,Appliance,10,65.0,-0.1486143379339142,0.04808339403833732,0.27692307692307694,0.27692307692307694,0.0,-0.14666,0.2677
gptoss,A_D,control,Shower,10,60.0,0.16785912677749015,0.08162956569369859,0.38,0.36666666666666664,0.0,0.13334,0.32999999999999996
gptoss,A_D,no_anchors,Overall,10,194.9,0.09930432264796028,0.03677299380512713,0.36786412899814963,0.36426645519429024,0.0,,
gptoss,A_D,no_anchors,HVAC,10,69.9,0.029415701665267236,0.09172255824215772,0.3174948240165631,0.3160662525879917,0.0,,
gptoss,A_D,no_anchors,Appliance,10,65.0,-0.14610204076182892,0.05496312291110178,0.23384615384615387,0.23230769230769233,0.0,,
gptoss,A_D,no_anchors,Shower,10,60.0,0.4464674031262856,0.053854423315596416,0.5716666666666667,0.5633333333333332,0.0,,
gptoss,A_E,control,Overall,5,195.0,0.2619994766592648,0.03225441298895301,0.4543589743589743,0.46256410256410263,0.0,0.27247999999999994,0.47386
gptoss,A_E,control,HVAC,5,70.0,0.23533430525184157,0.07790525817702774,0.42857142857142855,0.42857142857142855,0.0,0.26474000000000003,0.46856
gptoss,A_E,control,Appliance,5,65.0,-0.0020512820512820634,0.0838485864242168,0.316923076923077,0.316923076923077,0.0,-0.04820000000000001,0.30462
gptoss,A_E,control,Shower,5,60.0,0.5791638319043511,0.05653543474559142,0.6333333333333333,0.6599999999999999,0.0,0.6289,0.6633600000000001
qwen,A_D,control,Overall,10,192.8,-0.052260249131398484,0.032846221485997924,0.28790439636155923,0.2915341214474698,2.1,0.009980000000000001,0.30012
qwen,A_D,control,HVAC,10,68.0,-0.006725437573447105,0.06604505708007105,0.3163433968405912,0.3163433968405912,0.2,-0.00272,0.32656
qwen,A_D,control,Appliance,10,64.8,-0.14679127761793018,0.07246753736154354,0.18529914529914532,0.1821733821733822,0.3,-0.030879999999999998,0.23149999999999998
qwen,A_D,control,Shower,10,60.0,-0.0006377631417569827,0.05195470310809556,0.36666666666666664,0.38166666666666665,1.6,0.06888000000000001,0.34334000000000003
qwen,A_D,no_anchors,Overall,10,195.0,0.02432874942071635,0.03968904483356346,0.3712820512820513,0.37384615384615383,1.5,,
qwen,A_D,no_anchors,HVAC,10,70.0,-0.020976535182384504,0.062174151042159335,0.30428571428571427,0.30428571428571427,0.6,,
qwen,A_D,no_anchors,Appliance,10,65.0,0.1576797569436043,0.09106832871975479,0.47384615384615386,0.47384615384615386,0.1,,
qwen,A_D,no_anchors,Shower,10,60.0,-0.06896768304043402,0.10686308613114841,0.3383333333333333,0.34666666666666657,0.8,,
qwen,A_E,control,Overall,5,195.0,0.2057413923065373,0.03505279990313311,0.47384615384615386,0.4748717948717949,1.2,0.20820000000000002,0.46566
