baseline,decision_type,tau,top1,mae,n
LU-time_parse,Overall,0.6376068376068376,0.7076923076923077,0.07467094017094017,195
LU-time_parse,HVAC,0.9714285714285714,0.9714285714285714,0.029083333333333336,70
LU-time_parse,Appliance,0.09743589743589745,0.2923076923076923,0.16124358974358977,65
LU-time_parse,Shower,0.8333333333333334,0.85,0.03406944444444445,60
LU[gpm high=3.5],Overall,0.9247863247863248,0.9435897435897436,0.0395982905982906,195
LU[gpm high=3.5],HVAC,0.9714285714285714,0.9714285714285714,0.029083333333333336,70
LU[gpm high=3.5],Appliance,0.9589743589743589,1.0,0.0566025641025641,65
LU[gpm high=3.5],Shower,0.8333333333333334,0.85,0.03344444444444445,60
LU[gpm std=2.75],Overall,0.9213675213675213,0.9384615384615385,0.04214529914529914,195
LU[gpm std=2.75],HVAC,0.9714285714285714,0.9714285714285714,0.029083333333333336,70
LU[gpm std=2.75],Appliance,0.9589743589743589,1.0,0.0566025641025641,65
LU[gpm std=2.75],Shower,0.8222222222222223,0.8333333333333334,0.04172222222222222,60
