model,arch,run,decision_type,tau,tau_csv,top1,top1_csv,mae,mae_csv,n,n_csv,max_abs_diff
gemini,A_E,5,Appliance,0.3862,0.3862,0.6032,0.6032,0.1583,0.1583,63,63,0.0
gemini,A_E,5,Shower,0.7778,0.7778,0.8167,0.8167,0.1061,0.1061,60,60,0.0
gemini,A_H,1,Overall,0.9214,0.9214,0.9282,0.9282,0.0469,0.0469,195,195,0.0
gemini,A_H,1,HVAC,0.9714,0.9714,0.9571,0.9571,0.0292,0.0292,70,70,0.0
gemini,A_H,1,Appliance,0.959,0.959,0.9692,0.9692,0.0648,0.0648,65,65,0.0
gemini,A_H,1,Shower,0.8222,0.8222,0.85,0.85,0.0483,0.0483,60,60,0.0
gemini,A_H,2,Overall,0.9248,0.9248,0.9333,0.9333,0.0477,0.0477,195,195,0.0
gemini,A_H,2,HVAC,0.981,0.981,0.9714,0.9714,0.0302,0.0302,70,70,0.0
gemini,A_H,2,Appliance,0.959,0.959,0.9692,0.9692,0.066,0.066,65,65,0.0
gemini,A_H,2,Shower,0.8222,0.8222,0.85,0.85,0.0483,0.0483,60,60,0.0
gemini,A_H,3,Overall,0.9248,0.9248,0.9333,0.9333,0.0471,0.0471,195,195,0.0
gemini,A_H,3,HVAC,0.981,0.981,0.9714,0.9714,0.0286,0.0286,70,70,0.0
gemini,A_H,3,Appliance,0.959,0.959,0.9692,0.9692,0.0655,0.0655,65,65,0.0
gemini,A_H,3,Shower,0.8222,0.8222,0.85,0.85,0.0487,0.0487,60,60,0.0
gemini,A_H,4,Overall,0.9248,0.9248,0.9333,0.9333,0.0487,0.0487,195,195,0.0
gemini,A_H,4,HVAC,0.981,0.981,0.9714,0.9714,0.031,0.031,70,70,0.0
gemini,A_H,4,Appliance,0.959,0.959,0.9692,0.9692,0.0681,0.0681,65,65,0.0
gemini,A_H,4,Shower,0.8222,0.8222,0.85,0.85,0.0483,0.0483,60,60,0.0
gemini,A_H,5,Overall,0.9214,0.9214,0.9282,0.9282,0.048,0.048,195,195,0.0
gemini,A_H,5,HVAC,0.9714,0.9714,0.9571,0.9571,0.0288,0.0288,70,70,0.0
gemini,A_H,5,Appliance,0.959,0.959,0.9692,0.9692,0.0683,0.0683,65,65,0.0
gemini,A_H,5,Shower,0.8222,0.8222,0.85,0.85,0.0483,0.0483,60,60,0.0
gptoss,A_D,1,Overall,0.0017,0.0017,0.3231,0.3231,0.2392,0.2392,195,195,0.0
gptoss,A_D,1,HVAC,0.0952,0.0952,0.4286,0.4286,0.2033,0.2033,70,70,0.0
gptoss,A_D,1,Appliance,-0.2,-0.2,0.2308,0.2308,0.2904,0.2904,65,65,0.0
gptoss,A_D,1,Shower,0.1111,0.1111,0.3,0.3,0.2258,0.2258,60,60,0.0
gptoss,A_D,2,Overall,0.0291,0.0291,0.3077,0.3077,0.2419,0.2419,195,195,0.0
gptoss,A_D,2,HVAC,0.0667,0.0667,0.3286,0.3286,0.208,0.208,70,70,0.0
gptoss,A_D,2,Appliance,-0.1282,-0.1282,0.2923,0.2923,0.2928,0.2928,65,65,0.0
gptoss,A_D,2,Shower,0.1556,0.1556,0.3,0.3,0.2265,0.2265,60,60,0.0
gptoss,A_D,3,Overall,0.1077,0.1077,0.359,0.359,0.2389,0.2389,195,195,0.0
gptoss,A_D,3,HVAC,0.1714,0.1714,0.3714,0.3714,0.2054,0.2054,70,70,0.0
gptoss,A_D,3,Appliance,-0.0564,-0.0564,0.3385,0.3385,0.2857,0.2857,65,65,0.0
gptoss,A_D,3,Shower,0.2111,0.2111,0.3667,0.3667,0.2272,0.2272,60,60,0.0
