model,run,decision_type,parameter,n_scored,n_error,n_flip,p_change_given_error,error_rate,median_abs_rel_error,mae
qwen,4,HVAC,seer,69,52,3,0.057692307692307696,0.7536231884057971,0.125,1.5797101449275361
qwen,4,Shower,gpm,60,21,5,0.23809523809523808,0.35,0.2857142857142857,0.2916666666666667
qwen,4,Shower,tank_size,60,36,1,0.027777777777777776,0.6,0.2,9.166666666666666
qwen,4,Shower,water_heater_temp,60,20,1,0.05,0.3333333333333333,0.1111111111111111,4.583333333333333
qwen,5,Appliance,appliance,65,0,0,,0.0,,
qwen,5,Appliance,baseline_time,65,0,0,,0.0,,
qwen,5,Appliance,kwh_per_cycle,65,56,4,0.07142857142857142,0.8615384615384616,0.5789473684210527,0.8939999999999999
qwen,5,HVAC,hvac_age,70,64,0,0.0,0.9142857142857143,0.3557312252964427,6.4714285714285715
qwen,5,HVAC,occupancy_context,70,15,1,0.06666666666666667,0.21428571428571427,,
qwen,5,HVAC,r_value,70,70,6,0.08571428571428572,1.0,0.21428571428571427,4.364285714285714
qwen,5,HVAC,seer,70,56,2,0.03571428571428571,0.8,0.11437908496732026,1.6714285714285715
qwen,5,Shower,gpm,60,22,6,0.2727272727272727,0.36666666666666664,0.3333333333333333,0.35500000000000004
qwen,5,Shower,tank_size,60,37,1,0.02702702702702703,0.6166666666666667,0.2,9.166666666666666
qwen,5,Shower,water_heater_temp,60,20,1,0.05,0.3333333333333333,0.1111111111111111,4.583333333333333
