model,arch,decision_type,n,mean_regret,mean_norm_regret,zero_regret_share,top1,n_miss,mean_regret_given_miss,zero_regret_share_given_miss,max_regret,random_pick_regret,n_runs
gemini,A_D,HVAC,70.0,0.040845714285714305,0.5098540761721596,0.2542857142857143,0.2542857142857143,52.2,0.054762229289393574,0.0,0.169,0.037216666666666676,5
gemini,A_D,Appliance,65.0,0.09004461538461539,0.546991013648175,0.24923076923076923,0.24923076923076923,48.8,0.11997656846142715,0.0,0.2815,0.0898051282051282,5
gemini,A_D,Shower,60.0,0.017129999999999992,0.12863820476990823,0.61,0.61,23.4,0.04389813636363635,0.0,0.14189999999999992,0.08522499999999998,5
gemini,A_E,Overall,193.0,0.032382157987687635,0.35508425289062717,0.4870786816943539,0.4870786816943539,99.0,0.06315007261861542,0.0,0.2124999999999999,0.06960350346498881,5
gemini,A_E,HVAC,69.4,0.045092505175983455,0.5982619138707461,0.15283643892339543,0.15283643892339543,58.8,0.05319962264150946,0.0,0.169,0.03728231884057972,5
gemini,A_E,Appliance,63.6,0.043119042277167285,0.3396377792873729,0.5630494505494505,0.5630494505494505,27.8,0.09874147619047621,0.0,0.2124999999999999,0.09013949786324789,5
gemini,A_E,Shower,60.0,0.006293333333333329,0.09016165641066834,0.7933333333333333,0.7933333333333333,12.4,0.03057492507492505,0.0,0.11719999999999994,0.08522499999999998,5
gemini,A_H,Overall,195.0,0.0014984615384615375,0.020266466777397834,0.9312820512820513,0.9312820512820513,13.4,0.021801098901098888,0.0,0.07900000000000007,0.06951794871794871,5
gemini,A_H,HVAC,70.0,0.00033142857142857014,0.003982520497241636,0.9657142857142856,0.9657142857142856,2.4,0.009033333333333293,0.0,0.014399999999999946,0.037216666666666676,5
gemini,A_H,Appliance,65.0,0.0014230769230769234,0.009304593851174275,0.9692307692307691,0.9692307692307691,2.0,0.04625000000000001,0.0,0.07900000000000007,0.0898051282051282,5
gemini,A_H,Shower,60.0,0.0029416666666666645,0.05113976644098893,0.85,0.85,9.0,0.019611111111111097,0.0,0.04799999999999982,0.08522499999999998,5
gptoss,A_D,Overall,195.0,0.06155538461538462,0.4668753849501702,0.33333333333333337,0.33333333333333337,130.0,0.09231958320548848,0.0,0.38169999999999993,0.06951794871794871,5
gptoss,A_D,HVAC,70.0,0.030645714285714297,0.4144076288743805,0.39714285714285713,0.39714285714285713,42.2,0.05069981616274731,0.0,0.16789999999999997,0.037216666666666676,5
gptoss,A_D,Appliance,65.0,0.10023076923076926,0.5937713981062874,0.26769230769230773,0.26769230769230773,47.6,0.1369547608919059,0.0,0.3107,0.0898051282051282,5
gptoss,A_D,Shower,60.0,0.05571833333333333,0.39061708611946466,0.32999999999999996,0.32999999999999996,40.2,0.0833369197031039,0.0,0.3777999999999999,0.08522499999999998,5
gptoss,A_E,Overall,195.0,0.04274205128205129,0.34748772944918266,0.47384615384615386,0.47384615384615386,102.6,0.08124032670172451,0.0,0.2739999999999999,0.06951794871794871,5
gptoss,A_E,HVAC,70.0,0.022668571428571444,0.31130062997180097,0.4685714285714286,0.4685714285714286,37.2,0.04247513143665453,0.0,0.1586,0.037216666666666676,5
gptoss,A_E,Appliance,65.0,0.08647230769230771,0.556612165612264,0.3046153846153846,0.3046153846153846,45.2,0.12431870478036178,0.0,0.2709999999999999,0.0898051282051282,5
gptoss,A_E,Shower,60.0,0.018786666666666667,0.16315453966278987,0.6633333333333333,0.6633333333333333,20.2,0.05538884057971013,0.0,0.18529999999999996,0.08522499999999998,5
gptoss,A_H,Overall,171.6,0.0015408394868251323,0.03023637925554038,0.917283010327167,0.917283010327167,14.2,0.01870714285714286,0.0,0.04930000000000001,0.07423751589787789,5
gptoss,A_H,HVAC,46.6,0.0006239299113584819,0.008002602557277172,0.9398771387342816,0.9398771387342816,2.8,0.009491666666666652,0.0,0.015999999999999993,0.038342118119975274,5
gptoss,A_H,Appliance,65.0,0.00016615384615384563,0.0009831588529813351,0.9876923076923078,0.9876923076923078,0.8,0.013499999999999956,0.0,0.010799999999999966,0.0898051282051282,5
gptoss,A_H,Shower,60.0,0.003745000000000001,0.0792422393417136,0.8233333333333335,0.8233333333333335,10.6,0.020911919191919204,0.0,0.04930000000000001,0.08522499999999998,5
qwen,A_D,Overall,194.6,0.06914955326460481,0.5039860915687319,0.30013745704467354,0.30013745704467354,136.2,0.09873060071845849,0.0,0.5645999999999999,0.06952056304520221,5
qwen,A_D,HVAC,69.8,0.036046583850931686,0.4802750832934556,0.32654244306418223,0.32654244306418223,47.0,0.053637624837168926,0.0,0.20099999999999998,0.03724483091787441,5
qwen,A_D,Appliance,64.8,0.09653432692307694,0.5893133819242143,0.23149038461538463,0.23149038461538463,49.8,0.1255037431915483,0.0,0.3107,0.08974514423076922,5
qwen,A_D,Shower,60.0,0.078105,0.43955239368126575,0.3433333333333334,0.3433333333333334,39.4,0.11796723879723878,0.0,0.5645999999999999,0.08522499999999998,5
qwen,A_E,Overall,195.0,0.04680410256410257,0.3758124583591198,0.46564102564102566,0.46564102564102566,104.2,0.08753761486161968,0.0,0.4476,0.06951794871794871,5
qwen,A_E,HVAC,70.0,0.02975142857142859,0.40177725239235407,0.41142857142857137,0.41142857142857137,41.2,0.05044991319456439,0.0,0.18039999999999995,0.037216666666666676,5
qwen,A_E,Appliance,65.0,0.05958769230769232,0.37291576434742074,0.52,0.52,31.2,0.12383455882352945,0.0,0.3317,0.0898051282051282,5
qwen,A_E,Shower,60.0,0.052849999999999994,0.3486582838330203,0.47000000000000003,0.47000000000000003,31.8,0.09947890114379085,0.0,0.4001999999999999,0.08522499999999998,5
qwen,A_H,Overall,194.6,0.003282741210679356,0.04972997335812353,0.8972402854877082,0.8972402854877082,20.0,0.03219949675324676,0.0,0.09240000000000002,0.06961936029606132,5
qwen,A_H,HVAC,69.6,0.0027086749482401673,0.03221765222007536,0.8736645962732918,0.8736645962732918,8.8,0.021812121212121227,0.0,0.053000000000000026,0.037314541062801944,5
qwen,A_H,Appliance,65.0,0.004124615384615386,0.04347239274538078,0.9292307692307693,0.9292307692307693,4.6,0.058951666666666694,0.0,0.07900000000000007,0.0898051282051282,5
qwen,A_H,Shower,60.0,0.0030366666666666654,0.0768200147286339,0.89,0.89,6.6,0.028010317460317447,0.0,0.06539999999999999,0.08522499999999998,5
