baseline,scenario_id,decision_type,failed,kendall_tau,top1,mae
FD,179,Shower,False,1.0,1.0,0.0
FD,180,Shower,False,1.0,1.0,0.09749999999999999
FD,181,Shower,False,1.0,1.0,0.15416666666666665
FD,182,Shower,False,1.0,1.0,0.03833333333333333
FD,183,Shower,False,1.0,1.0,0.0
FD,184,Shower,False,1.0,1.0,0.09583333333333333
FD,185,Shower,False,1.0,1.0,0.0
FD,186,Shower,False,1.0,1.0,0.0
FD,187,Shower,False,1.0,1.0,0.0
FD,188,Shower,False,1.0,1.0,0.06
FD,189,Shower,False,-0.33333333333333337,0.0,0.03166666666666668
FD,190,Shower,False,1.0,1.0,0.0
FD,191,Shower,False,1.0,1.0,0.0
FD,192,Shower,False,0.33333333333333337,1.0,0.03333333333333335
FD,193,Shower,False,-1.0,0.0,0.13499999999999998
FD,194,Shower,False,1.0,1.0,0.08833333333333333
FD,195,Shower,False,1.0,1.0,0.03583333333333333
DM,1,HVAC,False,1.0,1.0,0.01166666666666664
DM,2,HVAC,False,1.0,1.0,0.03249999999999998
DM,3,HVAC,False,1.0,1.0,0.04833333333333333
DM,4,HVAC,False,1.0,1.0,0.043333333333333335
DM,5,HVAC,False,0.33333333333333337,1.0,0.020833333333333325
DM,6,HVAC,False,1.0,1.0,0.08249999999999999
DM,7,HVAC,False,1.0,1.0,0.12666666666666668
DM,8,HVAC,False,1.0,1.0,0.01166666666666664
DM,9,HVAC,False,1.0,1.0,0.04083333333333335
DM,10,HVAC,False,1.0,1.0,0.020000000000000018
DM,11,HVAC,False,1.0,1.0,0.07166666666666667
DM,12,HVAC,False,1.0,1.0,0.053333333333333295
DM,13,HVAC,False,1.0,1.0,0.10416666666666667
DM,14,HVAC,False,1.0,1.0,0.07166666666666664
DM,15,HVAC,False,1.0,1.0,0.06500000000000002
DM,16,HVAC,False,1.0,1.0,0.05916666666666665
DM,17,HVAC,False,1.0,1.0,0.07583333333333335
DM,18,HVAC,False,1.0,1.0,0.05000000000000004
DM,19,HVAC,False,1.0,1.0,0.065
DM,20,HVAC,False,1.0,1.0,0.0325
DM,21,HVAC,False,1.0,1.0,0.0825
DM,22,HVAC,False,1.0,1.0,0.01666666666666666
DM,23,HVAC,False,1.0,1.0,0.02833333333333334
