model,arch,run,decision_type,n,mean_regret,mean_norm_regret,zero_regret_share,top1,n_miss,mean_regret_given_miss,zero_regret_share_given_miss,max_regret,random_pick_regret
gemini,A_E,1,Shower,60,0.006258333333333328,0.09694890541493913,0.7833333333333333,0.7833333333333333,13,0.028884615384615363,0.0,0.09799999999999998,0.08522499999999998
gemini,A_E,2,Overall,193,0.030935233160621776,0.3337940672261281,0.5129533678756477,0.5129533678756477,94,0.06351595744680852,0.0,0.2124999999999999,0.06955008635578584
gemini,A_E,2,HVAC,69,0.04009420289855074,0.5402728967587933,0.2318840579710145,0.2318840579710145,53,0.0521981132075472,0.0,0.169,0.037463768115942035
gemini,A_E,2,Appliance,64,0.04360937500000001,0.34290476837424166,0.5625,0.5625,28,0.09967857142857146,0.0,0.2124999999999999,0.08944791666666668
gemini,A_E,2,Shower,60,0.006883333333333328,0.08662533203890858,0.7833333333333333,0.7833333333333333,13,0.031769230769230744,0.0,0.1459999999999999,0.08522499999999998
gemini,A_E,3,Overall,193,0.03332901554404147,0.3613117156342523,0.46632124352331605,0.46632124352331605,103,0.06245145631067964,0.0,0.2124999999999999,0.0695924006908463
gemini,A_E,3,HVAC,70,0.04662142857142859,0.6102234946649561,0.12857142857142856,0.12857142857142856,61,0.05350000000000002,0.0,0.169,0.037216666666666676
gemini,A_E,3,Appliance,63,0.04400000000000001,0.3333718330784088,0.5555555555555556,0.5555555555555556,28,0.09900000000000002,0.0,0.2124999999999999,0.0906772486772487
gemini,A_E,3,Shower,60,0.006616666666666663,0.10025151678206663,0.7666666666666667,0.7666666666666667,14,0.02835714285714284,0.0,0.09799999999999998,0.08522499999999998
gemini,A_E,4,Overall,193,0.03213212435233161,0.3550284692304636,0.48704663212435234,0.48704663212435234,99,0.06264141414141416,0.0,0.2124999999999999,0.06937219343696029
gemini,A_E,4,HVAC,70,0.044464285714285734,0.5910191625047819,0.14285714285714285,0.14285714285714285,60,0.051875000000000025,0.0,0.169,0.037216666666666676
gemini,A_E,4,Appliance,63,0.04432539682539683,0.36363410392843415,0.5555555555555556,0.5555555555555556,28,0.09973214285714285,0.0,0.2124999999999999,0.09000264550264553
gemini,A_E,4,Shower,60,0.004941666666666661,0.0706700773108898,0.8166666666666667,0.8166666666666667,11,0.026954545454545422,0.0,0.09799999999999998,0.08522499999999998
gemini,A_E,5,Overall,192,0.032148437500000016,0.35029996340570796,0.5,0.5,96,0.06429687500000003,0.0,0.2124999999999999,0.06977517361111112
gemini,A_E,5,HVAC,69,0.04731159420289858,0.6104786868107219,0.13043478260869565,0.13043478260869565,60,0.054408333333333364,0.0,0.169,0.037176328502415465
gemini,A_E,5,Appliance,63,0.039714285714285716,0.3072351833899026,0.6031746031746031,0.6031746031746031,25,0.10008000000000003,0.0,0.2124999999999999,0.0907645502645503
gemini,A_E,5,Shower,60,0.006766666666666663,0.0963124505065376,0.8166666666666667,0.8166666666666667,11,0.03690909090909089,0.0,0.1459999999999999,0.08522499999999998
gemini,A_H,1,Overall,195,0.001576923076923076,0.021395409776844433,0.9282051282051282,0.9282051282051282,14,0.021964285714285704,0.0,0.07900000000000007,0.06951794871794871
gemini,A_H,1,HVAC,70,0.000549999999999999,0.007127433138557157,0.9571428571428572,0.9571428571428572,3,0.012833333333333308,0.0,0.025500000000000023,0.037216666666666676
gemini,A_H,1,Appliance,65,0.0014230769230769234,0.009304593851174275,0.9692307692307692,0.9692307692307692,2,0.04625000000000001,0.0,0.07900000000000007,0.0898051282051282
gemini,A_H,1,Shower,60,0.0029416666666666645,0.05113976644098893,0.85,0.85,9,0.019611111111111097,0.0,0.04799999999999982,0.08522499999999998
gemini,A_H,2,Overall,195,0.001446153846153845,0.019513838111100103,0.9333333333333333,0.9333333333333333,13,0.021692307692307677,0.0,0.07900000000000007,0.06951794871794871
gemini,A_H,2,HVAC,70,0.00018571428571428428,0.0018859120696979553,0.9714285714285714,0.9714285714285714,2,0.00649999999999995,0.0,0.006999999999999895,0.037216666666666676
gemini,A_H,2,Appliance,65,0.0014230769230769234,0.009304593851174275,0.9692307692307692,0.9692307692307692,2,0.04625000000000001,0.0,0.07900000000000007,0.0898051282051282
gemini,A_H,2,Shower,60,0.0029416666666666645,0.05113976644098893,0.85,0.85,9,0.019611111111111097,0.0,0.04799999999999982,0.08522499999999998
gemini,A_H,3,Overall,195,0.001446153846153845,0.019513838111100103,0.9333333333333333,0.9333333333333333,13,0.021692307692307677,0.0,0.07900000000000007,0.06951794871794871
gemini,A_H,3,HVAC,70,0.00018571428571428428,0.0018859120696979553,0.9714285714285714,0.9714285714285714,2,0.00649999999999995,0.0,0.006999999999999895,0.037216666666666676
gemini,A_H,3,Appliance,65,0.0014230769230769234,0.009304593851174275,0.9692307692307692,0.9692307692307692,2,0.04625000000000001,0.0,0.07900000000000007,0.0898051282051282
gemini,A_H,3,Shower,60,0.0029416666666666645,0.05113976644098893,0.85,0.85,9,0.019611111111111097,0.0,0.04799999999999982,0.08522499999999998
gemini,A_H,4,Overall,195,0.001446153846153845,0.019513838111100103,0.9333333333333333,0.9333333333333333,13,0.021692307692307677,0.0,0.07900000000000007,0.06951794871794871
gemini,A_H,4,HVAC,70,0.00018571428571428428,0.0018859120696979553,0.9714285714285714,0.9714285714285714,2,0.00649999999999995,0.0,0.006999999999999895,0.037216666666666676
gemini,A_H,4,Appliance,65,0.0014230769230769234,0.009304593851174275,0.9692307692307692,0.9692307692307692,2,0.04625000000000001,0.0,0.07900000000000007,0.0898051282051282
gemini,A_H,4,Shower,60,0.0029416666666666645,0.05113976644098893,0.85,0.85,9,0.019611111111111097,0.0,0.04799999999999982,0.08522499999999998
gemini,A_H,5,Overall,195,0.001576923076923076,0.021395409776844433,0.9282051282051282,0.9282051282051282,14,0.021964285714285704,0.0,0.07900000000000007,0.06951794871794871
gemini,A_H,5,HVAC,70,0.000549999999999999,0.007127433138557157,0.9571428571428572,0.9571428571428572,3,0.012833333333333308,0.0,0.025500000000000023,0.037216666666666676
gemini,A_H,5,Appliance,65,0.0014230769230769234,0.009304593851174275,0.9692307692307692,0.9692307692307692,2,0.04625000000000001,0.0,0.07900000000000007,0.0898051282051282
gemini,A_H,5,Shower,60,0.0029416666666666645,0.05113976644098893,0.85,0.85,9,0.019611111111111097,0.0,0.04799999999999982,0.08522499999999998
gptoss,A_D,1,Overall,195,0.06072051282051282,0.4923673268855888,0.3230769230769231,0.3230769230769231,132,0.08970075757575759,0.0,0.2815,0.06951794871794871
gptoss,A_D,1,HVAC,70,0.02912142857142859,0.438430126141202,0.42857142857142855,0.42857142857142855,40,0.05096250000000004,0.0,0.169,0.037216666666666676
gptoss,A_D,1,Appliance,65,0.09945384615384617,0.6270214862106146,0.23076923076923078,0.23076923076923078,50,0.12929000000000002,0.0,0.2815,0.0898051282051282
gptoss,A_D,1,Shower,60,0.055624999999999994,0.4094187218185955,0.3,0.3,42,0.0794642857142857,0.0,0.2764999999999999,0.08522499999999998
gptoss,A_D,2,Overall,195,0.0635974358974359,0.4704124355514278,0.3076923076923077,0.3076923076923077,135,0.09186296296296298,0.0,0.2859999999999999,0.06951794871794871
gptoss,A_D,2,HVAC,70,0.03814285714285715,0.4620157835115328,0.32857142857142857,0.32857142857142857,47,0.05680851063829787,0.0,0.16549999999999987,0.037216666666666676
gptoss,A_D,2,Appliance,65,0.09886153846153847,0.5755217010241839,0.2923076923076923,0.2923076923076923,46,0.13969565217391308,0.0,0.2815,0.0898051282051282
gptoss,A_D,2,Shower,60,0.05509166666666666,0.3663401586691528,0.3,0.3,42,0.07870238095238093,0.0,0.2859999999999999,0.08522499999999998
