model,baseline,scope,metric,n_scenarios,mean_gain_ah_minus_baseline,ci95_lo,ci95_hi
gptoss,LU-corpus,HVAC,top1,69,-0.018115942028985508,-0.04710144927536232,0.0
gptoss,LU-corpus,Appliance,kendall_tau,65,-0.0020512820512820387,-0.04717948717948717,0.04717948717948719
gptoss,LU-corpus,Appliance,top1,65,0.003076923076923076,-0.036923076923076927,0.046153846153846156
gptoss,LU-corpus,Shower,kendall_tau,60,-0.0911111111111111,-0.1933333333333333,0.01111111111111113
gptoss,LU-corpus,Shower,top1,60,-0.09333333333333331,-0.16666666666666669,-0.02333333333333333
gptoss,LU-literal,Overall,kendall_tau,194,-0.017124856815578453,-0.04725229095074454,0.012829324169530372
gptoss,LU-literal,Overall,top1,194,-0.018814432989690717,-0.0461340206185567,0.0074742268041237125
gptoss,LU-literal,HVAC,kendall_tau,69,-0.015297906602254416,-0.06038647342995168,0.03059581320450887
gptoss,LU-literal,HVAC,top1,69,-0.018115942028985508,-0.07608695652173914,0.036231884057971016
gptoss,LU-literal,Appliance,kendall_tau,65,0.008205128205128219,-0.04102564102564102,0.06153846153846154
gptoss,LU-literal,Appliance,top1,65,-0.012307692307692308,-0.036923076923076927,0.0
gptoss,LU-literal,Shower,kendall_tau,60,-0.04666666666666665,-0.10666666666666665,0.011111111111111138
gptoss,LU-literal,Shower,top1,60,-0.02666666666666666,-0.07999999999999999,0.023333333333333338
qwen,LU,Overall,kendall_tau,195,-0.04547008547008546,-0.09982905982905982,0.008547008547008558
qwen,LU,Overall,top1,195,-0.047179487179487174,-0.09233333333333331,-0.002051282051282054
qwen,LU,HVAC,kendall_tau,70,-0.09238095238095237,-0.16285714285714287,-0.032380952380952364
qwen,LU,HVAC,top1,70,-0.1,-0.16571428571428573,-0.04285714285714286
qwen,LU,Appliance,kendall_tau,65,-0.05333333333333333,-0.13948717948717948,0.02461538461538463
qwen,LU,Appliance,top1,65,-0.07076923076923076,-0.1353846153846154,-0.01846153846153846
qwen,LU,Shower,kendall_tau,60,0.0177777777777778,-0.11333333333333329,0.1466666666666667
qwen,LU,Shower,top1,60,0.04000000000000001,-0.06666666666666667,0.1434166666666655
qwen,FD+time,Overall,kendall_tau,195,-0.021538461538461527,-0.0663247863247863,0.021880341880341894
qwen,FD+time,Overall,top1,195,-0.04205128205128205,-0.08102564102564103,-0.005128205128205126
qwen,FD+time,HVAC,kendall_tau,70,-0.05428571428571427,-0.13142857142857142,0.017142857142857165
qwen,FD+time,HVAC,top1,70,-0.08571428571428572,-0.15714285714285717,-0.02
qwen,FD+time,Appliance,kendall_tau,65,-0.05333333333333333,-0.13948717948717948,0.022564102564102576
qwen,FD+time,Appliance,top1,65,-0.07076923076923076,-0.1353846153846154,-0.01846153846153846
qwen,FD+time,Shower,kendall_tau,60,0.05111111111111113,-0.008888888888888872,0.12222222222222222
qwen,FD+time,Shower,top1,60,0.039999999999999994,-0.01666666666666666,0.10666666666666667
qwen,LU-corpus,Overall,kendall_tau,195,-0.05914529914529913,-0.09675213675213673,-0.023589743589743573
qwen,LU-corpus,Overall,top1,195,-0.05743589743589743,-0.09128205128205129,-0.02666666666666666
qwen,LU-corpus,HVAC,kendall_tau,70,-0.08285714285714285,-0.1495238095238095,-0.024761904761904745
qwen,LU-corpus,HVAC,top1,70,-0.08571428571428572,-0.14857142857142858,-0.03142857142857143
qwen,LU-corpus,Appliance,kendall_tau,65,-0.06358974358974358,-0.14564102564102566,0.008205128205128216
qwen,LU-corpus,Appliance,top1,65,-0.05538461538461538,-0.12615384615384614,0.006153846153846154
qwen,LU-corpus,Shower,kendall_tau,60,-0.026666666666666655,-0.06444444444444443,0.008888888888888898
qwen,LU-corpus,Shower,top1,60,-0.02666666666666666,-0.07333333333333332,0.010000000000000005
qwen,LU-literal,Overall,kendall_tau,195,-0.042051282051282037,-0.09710256410256407,0.011965811965811975
qwen,LU-literal,Overall,top1,195,-0.04205128205128205,-0.0882051282051282,0.004102564102564104
qwen,LU-literal,HVAC,kendall_tau,70,-0.08285714285714284,-0.15714285714285714,-0.019047619047619035
qwen,LU-literal,HVAC,top1,70,-0.08571428571428572,-0.15714285714285714,-0.02
qwen,LU-literal,Appliance,kendall_tau,65,-0.05333333333333333,-0.13748717948717942,0.024615384615384636
qwen,LU-literal,Appliance,top1,65,-0.07076923076923076,-0.1353846153846154,-0.01846153846153846
qwen,LU-literal,Shower,kendall_tau,60,0.0177777777777778,-0.11111111111111109,0.1444444444444445
qwen,LU-literal,Shower,top1,60,0.04000000000000001,-0.06666666666666667,0.14666666666666667
