model,arch,run,decision_type,n,any_tie_share,top_tie_share,top_tie_input_order_share,all_three_identical_share,n_top_tie,gt_in_tied_top_share,gt_first_in_tie_share,shipped_hit_in_ties,top1_shipped,top1_random_tiebreak,top1_input_order_only,top1_ties_as_miss,shipped_top_pos1_share
gemini,A_E,4,HVAC,70,0.014285714285714285,0.014285714285714285,0.014285714285714285,0.0,1,1.0,1.0,1.0,0.14285714285714285,0.1357142857142857,0.14285714285714285,0.12857142857142856,0.38571428571428573
gemini,A_E,4,Appliance,63,0.031746031746031744,0.031746031746031744,0.0,0.0,2,0.5,0.5,0.5,0.5555555555555556,0.5476190476190477,0.5555555555555556,0.5396825396825397,0.5873015873015873
gemini,A_E,4,Shower,60,0.03333333333333333,0.03333333333333333,0.0,0.0,2,1.0,0.5,1.0,0.8166666666666667,0.8,0.8,0.7833333333333333,0.6666666666666666
gemini,A_E,5,Overall,192,0.036458333333333336,0.020833333333333332,0.005208333333333333,0.0,4,1.0,0.5,0.5,0.5,0.5,0.5,0.4895833333333333,0.5625
gemini,A_E,5,HVAC,69,0.043478260869565216,0.028985507246376812,0.014492753623188406,0.0,2,1.0,0.5,0.0,0.13043478260869565,0.14492753623188406,0.14492753623188406,0.13043478260869565,0.42028985507246375
gemini,A_E,5,Appliance,63,0.047619047619047616,0.015873015873015872,0.0,0.0,1,1.0,1.0,1.0,0.6031746031746031,0.5952380952380952,0.6031746031746031,0.5873015873015873,0.6031746031746031
gemini,A_E,5,Shower,60,0.016666666666666666,0.016666666666666666,0.0,0.0,1,1.0,0.0,1.0,0.8166666666666667,0.8083333333333333,0.8,0.8,0.6833333333333333
gemini,A_H,1,Overall,195,0.010256410256410256,0.0,0.0,0.0,0,,,,0.9282051282051282,0.9282051282051282,0.9282051282051282,0.9282051282051282,0.5743589743589743
gemini,A_H,1,HVAC,70,0.02857142857142857,0.0,0.0,0.0,0,,,,0.9571428571428572,0.9571428571428572,0.9571428571428572,0.9571428571428572,0.24285714285714285
gemini,A_H,1,Appliance,65,0.0,0.0,0.0,0.0,0,,,,0.9692307692307692,0.9692307692307692,0.9692307692307692,0.9692307692307692,0.8769230769230769
gemini,A_H,1,Shower,60,0.0,0.0,0.0,0.0,0,,,,0.85,0.85,0.85,0.85,0.6333333333333333
gemini,A_H,2,Overall,195,0.010256410256410256,0.0,0.0,0.0,0,,,,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.5794871794871795
gemini,A_H,2,HVAC,70,0.02857142857142857,0.0,0.0,0.0,0,,,,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.2571428571428571
gemini,A_H,2,Appliance,65,0.0,0.0,0.0,0.0,0,,,,0.9692307692307692,0.9692307692307692,0.9692307692307692,0.9692307692307692,0.8769230769230769
gemini,A_H,2,Shower,60,0.0,0.0,0.0,0.0,0,,,,0.85,0.85,0.85,0.85,0.6333333333333333
gemini,A_H,3,Overall,195,0.010256410256410256,0.0,0.0,0.0,0,,,,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.5794871794871795
gemini,A_H,3,HVAC,70,0.02857142857142857,0.0,0.0,0.0,0,,,,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.2571428571428571
gemini,A_H,3,Appliance,65,0.0,0.0,0.0,0.0,0,,,,0.9692307692307692,0.9692307692307692,0.9692307692307692,0.9692307692307692,0.8769230769230769
gemini,A_H,3,Shower,60,0.0,0.0,0.0,0.0,0,,,,0.85,0.85,0.85,0.85,0.6333333333333333
gemini,A_H,4,Overall,195,0.010256410256410256,0.0,0.0,0.0,0,,,,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.5794871794871795
gemini,A_H,4,HVAC,70,0.02857142857142857,0.0,0.0,0.0,0,,,,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.2571428571428571
gemini,A_H,4,Appliance,65,0.0,0.0,0.0,0.0,0,,,,0.9692307692307692,0.9692307692307692,0.9692307692307692,0.9692307692307692,0.8769230769230769
gemini,A_H,4,Shower,60,0.0,0.0,0.0,0.0,0,,,,0.85,0.85,0.85,0.85,0.6333333333333333
gemini,A_H,5,Overall,195,0.010256410256410256,0.0,0.0,0.0,0,,,,0.9282051282051282,0.9282051282051282,0.9282051282051282,0.9282051282051282,0.5743589743589743
gemini,A_H,5,HVAC,70,0.02857142857142857,0.0,0.0,0.0,0,,,,0.9571428571428572,0.9571428571428572,0.9571428571428572,0.9571428571428572,0.24285714285714285
gemini,A_H,5,Appliance,65,0.0,0.0,0.0,0.0,0,,,,0.9692307692307692,0.9692307692307692,0.9692307692307692,0.9692307692307692,0.8769230769230769
gemini,A_H,5,Shower,60,0.0,0.0,0.0,0.0,0,,,,0.85,0.85,0.85,0.85,0.6333333333333333
gptoss,A_D,1,Overall,195,0.11794871794871795,0.07692307692307693,0.07692307692307693,0.020512820512820513,15,0.8666666666666667,0.6,0.6,0.3230769230769231,0.3068376068376068,0.3230769230769231,0.27692307692307694,0.30256410256410254
gptoss,A_D,1,HVAC,70,0.21428571428571427,0.11428571428571428,0.11428571428571428,0.02857142857142857,8,0.75,0.375,0.375,0.42857142857142855,0.4238095238095238,0.42857142857142855,0.38571428571428573,0.38571428571428573
gptoss,A_D,1,Appliance,65,0.0,0.0,0.0,0.0,0,,,,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.23076923076923078
gptoss,A_D,1,Shower,60,0.13333333333333333,0.11666666666666667,0.11666666666666667,0.03333333333333333,7,1.0,0.8571428571428571,0.8571428571428571,0.3,0.2527777777777777,0.3,0.2,0.2833333333333333
gptoss,A_D,2,Overall,195,0.15897435897435896,0.05641025641025641,0.046153846153846156,0.005128205128205128,11,0.5454545454545454,0.2727272727272727,0.2727272727272727,0.3076923076923077,0.30598290598290595,0.3076923076923077,0.2923076923076923,0.27692307692307694
gptoss,A_D,2,HVAC,70,0.3,0.08571428571428572,0.07142857142857142,0.0,6,0.5,0.0,0.16666666666666666,0.32857142857142857,0.3357142857142857,0.3142857142857143,0.3142857142857143,0.34285714285714286
gptoss,A_D,2,Appliance,65,0.06153846153846154,0.03076923076923077,0.015384615384615385,0.0,2,0.5,0.5,0.5,0.2923076923076923,0.2846153846153846,0.2923076923076923,0.27692307692307694,0.24615384615384617
gptoss,A_D,2,Shower,60,0.1,0.05,0.05,0.016666666666666666,3,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3,0.2944444444444444,0.31666666666666665,0.2833333333333333,0.23333333333333334
