model,architecture,run,decision_type,scenario_id,kendall_tau,overall_mae,top1_accuracy,top2_accuracy
gptoss,Direct_LLM_Scoring,1,Appliance,105,0.33333333333333337,0.30083333333333334,0.0,1.0
gptoss,Direct_LLM_Scoring,1,Appliance,106,-1.0,0.375,0.0,0.0
gptoss,Direct_LLM_Scoring,1,Appliance,107,-1.0,0.36833333333333335,0.0,0.0
gptoss,Direct_LLM_Scoring,1,Appliance,108,0.33333333333333337,0.2525,1.0,1.0
gptoss,Direct_LLM_Scoring,1,Appliance,109,1.0,0.46166666666666667,1.0,1.0
gptoss,Direct_LLM_Scoring,1,Appliance,110,-0.33333333333333337,0.20833333333333334,0.0,0.0
gptoss,Direct_LLM_Scoring,1,Appliance,111,-0.33333333333333337,0.18166666666666664,0.0,0.0
gptoss,Direct_LLM_Scoring,1,Appliance,112,-0.33333333333333337,0.29166666666666663,0.0,1.0
gptoss,Direct_LLM_Scoring,1,Appliance,113,-1.0,0.2916666666666667,0.0,0.0
gptoss,Direct_LLM_Scoring,1,Appliance,114,-0.33333333333333337,0.3383333333333334,0.0,1.0
gptoss,Direct_LLM_Scoring,1,Appliance,115,-0.33333333333333337,0.1958333333333333,0.0,0.0
gptoss,Direct_LLM_Scoring,1,Appliance,116,-0.33333333333333337,0.2891666666666667,0.0,0.0
gptoss,Direct_LLM_Scoring,1,Appliance,117,0.33333333333333337,0.30083333333333334,0.0,1.0
gptoss,Direct_LLM_Scoring,1,Appliance,118,0.33333333333333337,0.24916666666666662,0.0,1.0
gptoss,Direct_LLM_Scoring,1,Appliance,119,1.0,0.215,1.0,1.0
gptoss,Direct_LLM_Scoring,1,Appliance,120,0.33333333333333337,0.3216666666666666,1.0,1.0
gptoss,Direct_LLM_Scoring,1,Appliance,121,1.0,0.15749999999999997,1.0,1.0
gptoss,Direct_LLM_Scoring,1,Appliance,122,1.0,0.38250000000000006,1.0,1.0
gptoss,Direct_LLM_Scoring,1,Appliance,123,-0.33333333333333337,0.3491666666666666,0.0,0.0
gptoss,Direct_LLM_Scoring,1,Appliance,124,-1.0,0.25833333333333336,0.0,0.0
